id,rdnm,store_code, mon_sales , mon_sales_count ,weekdays_sales_rate,weekend_sales_rate,weekdays_sales_coount,weekend_sales_count,breakfast(06~11),lunch(11~17),dinner(17~06),men_sales_rate,women_sales_rate
64,성균관로5길,유흥주점,213882124,4840,35,65,3185,1655,0,0,100,70,30
65,숭인동길,한식,451635669,13161,73,73,9886,3275,1,33,66,61,40
66,숭인동길,일식/수산물,335944550,3914,24,76,2963,951,0,49,51,59,41
67,숭인동길,분식,245078570,6672,73,73,4271,2401,6,40,54,63,37
68,숭인동길,패스트푸드점,3649340,256,74,74,176,80,0,21,79,56,44
69,숭인동길,닭/오리요리,130618733,5044,69,69,3537,1507,0,5,95,64,36
70,숭인동길,제과제빵떡케익,398787174,45579,18,83,36081,9498,22,29,49,41,59
71,숭인동길,커피점/카페,72143473,11243,72,72,8050,3193,14,43,43,44,56
72,숭인동길,유흥주점,57395635,2105,75,75,1483,622,-1,1,100,73,27
73,옥인길,한식,211275096,13074,26,74,9356,3718,1,76,23,31,69
74,옥인길,일식/수산물,29693739,1132,778,67,778,354,1,77,22,24,76
75,옥인길,양식,326012018,3315,47,53,1757,1558,-1,54,47,41,59
76,옥인길,분식,283283784,12759,44,57,7426,5333,-1,51,50,36,64
77,옥인길,패스트푸드점,41527567,1045,36,64,666,379,0,37,63,34,66
78,옥인길,제과제빵떡케익,46478136,4997,2916,58,2916,2081,2,59,39,34,66
79,옥인길,커피점/카페,69900414,4530,58,43,2334,2196,1,61,38,39,61
80,옥인길,유흥주점,100893497,1562,44,56,885,677,-1,8,93,30,70
81,율곡로10길,한식,195506584,3494,15,86,2996,498,0,44,56,68,32
82,율곡로10길,분식,6213324,130,34,66,45,85,0,100,0,17,83
83,율곡로10길,패스트푸드점,55458820,3223,16,84,2700,523,1,82,17,35,65
84,율곡로10길,커피점/카페,207717109,21712,24,76,14663,7049,5,81,14,46,54
85,율곡로10길,유흥주점,24000000,1644,38,62,1018,626,0,65,35,42,58
86,율곡로16길,한식,539214704,28891,6,94,27023,1868,6,79,15,77,24
87,율곡로16길,중식,34369636,1860,14,87,1628,232,0,76,24,73,27
88,율곡로16길,양식,104829741,5926,10,90,5332,594,7,64,29,37,63
89,이화장길,한식,2332829451,73530,84,84,52665,20865,1,70,29,53,47
90,이화장길,중식,28335195,1945,95,95,1857,88,0,86,14,63,37
91,이화장길,일식/수산물,287156900,15952,20,80,11619,4333,0,61,39,38,62
92,이화장길,양식,198248490,9289,65,65,6041,3248,0,50,50,45,56
93,이화장길,분식,15152903,2148,56,56,1029,1119,0,57,43,33,67
94,이화장길,패스트푸드점,1054348179,15441,61,61,8733,6708,3,50,47,42,58
95,이화장길,닭/오리요리,29489307,1205,64,64,788,417,-1,4,97,64,37
96,이화장길,제과제빵떡케익,11565768,1756,27,73,1283,473,14,63,23,46,54
97,이화장길,커피점/카페,831315232,84602,77,77,65384,19218,6,68,26,37,63
98,이화장길,유흥주점,22574885,656,40,40,280,376,0,15,85,50,50
99,자하문로7길,한식,1456805697,41188,21,79,33016,8172,0,50,50,55,45
100,자하문로7길,중식,589455214,20395,34,66,13184,7211,1,56,43,53,47
101,자하문로7길,일식/수산물,161801260,5424,3602,65,3602,1822,1,46,53,47,54
102,자하문로7길,양식,887358399,17388,38,62,11082,6306,-1,39,62,40,60
103,자하문로7길,분식,834236132,42258,44,57,24618,17640,-1,54,47,32,68
104,자하문로7길,닭/오리요리,60080256,1947,37,63,1230,717,-1,19,82,44,56
105,자하문로7길,제과제빵떡케익,32784335,3923,2238,57,2238,1685,2,54,44,40,60
106,자하문로7길,커피점/카페,817276395,89481,32,68,68578,20903,2,66,32,38,62
107,자하문로7길,유흥주점,87754597,2104,32,68,1454,650,-1,3,98,75,25
108,종로24길,한식,1085819497,30836,12,88,26902,3934,0,64,36,73,27
109,종로24길,중식,91516053,5197,6,94,4869,328,0,83,17,86,14
110,종로24길,분식,28446076,3260,13,88,2863,397,-1,75,26,66,34
111,종로24길,커피점/카페,124467506,17506,19,81,14246,3260,8,66,26,67,33
112,종로24길,유흥주점,127741916,4811,9,91,4376,435,1,9,90,92,8
113,종로58가길,한식,903948533,58051,35,66,36954,21097,6,66,28,64,36
114,종로58가길,중식,252184431,16125,30,70,11324,4801,0,64,36,56,44
115,종로58가길,양식,22612534,417,54,46,192,225,1,62,37,61,40
116,종로58가길,분식,2926461,230,63,37,86,144,0,81,19,81,19
117,종로58가길,닭/오리요리,139666854,12730,53,47,6031,6699,2,49,49,72,28
118,종로58가길,제과제빵떡케익,36836539,5317,3284,62,3284,2033,21,32,47,53,48
119,종로58가길,커피점/카페,39858661,5664,14,86,4305,1359,7,78,15,61,39
120,종로58가길,유흥주점,303424160,7517,28,72,5386,2131,18,23,59,69,31
121,종로65길,한식,442755890,24612,21,79,18747,5865,3,56,41,59,41
122,종로65길,중식,44838012,5007,28,72,3631,1376,1,63,36,79,21
123,종로65길,분식,28092699,2915,14,86,2511,404,5,60,35,49,51
124,종로65길,패스트푸드점,39703677,6649,23,77,5159,1490,29,44,27,46,54
125,종로65길,닭/오리요리,130824104,5738,35,65,3726,2012,0,10,90,52,48
126,종로65길,커피점/카페,219281961,58532,24,76,44741,13791,24,52,24,54,46
127,종로65길,유흥주점,118701042,3867,33,67,2589,1278,0,14,86,67,33
128,지봉로8길,한식,883073927,39524,21,79,25303,14221,1,75,24,63,37
129,지봉로8길,분식,43751026,5287,31,69,3667,1620,0,33,67,45,55
130,지봉로8길,닭/오리요리,25416884,1213,40,60,735,478,0,6,94,62,39
131,지봉로8길,커피점/카페,58578988,9329,32,68,6402,2927,20,49,31,46,54
132,지봉로8길,유흥주점,150070412,4230,25,75,2982,1248,7,15,78,64,36
133,창경궁로35길,한식,809012811,45776,20,80,33736,12040,0,62,38,50,50
134,창경궁로35길,양식,31105633,354,34,66,232,122,0,28,72,49,51
135,창경궁로35길,패스트푸드점,29927979,1381,40,61,844,537,1,34,65,47,53
136,창경궁로35길,커피점/카페,111965469,9907,25,75,7090,2817,6,68,26,34,66
137,창신2길,한식,686285083,20753,29,71,14692,6061,0,26,74,47,53
138,창신2길,분식,152110287,22901,21,79,14984,7917,6,44,50,59,41
139,창신2길,커피점/카페,2182791,16,25,75,12,4,0,100,0,75,25
140,창신2길,유흥주점,35597337,827,37,63,533,294,0,0,100,71,29
141,창신5길,한식,107895468,3294,22,78,2222,1072,0,58,42,65,35
142,창신5길,분식,19831737,1106,11,89,983,123,2,90,8,85,15
143,창신5길,제과제빵떡케익,6019926,457,350,75,350,107,6,36,58,39,61
144,창신5길,유흥주점,4662107,110,33,67,66,44,0,0,100,17,83
145,창신길,한식,12396694,579,53,47,331,248,1,73,26,56,45
146,창신길,패스트푸드점,3000000,545,63,37,206,339,0,80,20,65,35
147,창신길,유흥주점,11306118,292,46,54,182,110,2,0,98,71,29
148,통일로12길,한식,22172675,722,27,73,532,190,5,57,38,60,40
149,통일로12길,패스트푸드점,113395417,3491,38,62,2173,1318,0,37,63,51,49
150,통일로12길,닭/오리요리,5689108,626,34,66,425,201,-1,10,91,43,57
151,평창길,한식,1369034943,18320,34,66,12122,6198,0,58,42,54,46
152,평창길,중식,61291499,2786,35,65,1821,965,0,66,34,58,43
153,평창길,양식,117985095,1389,39,61,774,615,-1,49,52,48,52
154,평창길,커피점/카페,133852889,7690,35,65,4891,2799,2,66,32,39,61
155,필운대로1길,한식,230613315,8686,21,79,6659,2027,5,63,32,51,49
156,필운대로1길,양식,333769359,2336,23,77,1795,541,0,15,85,44,56
157,필운대로1길,분식,98246889,15183,1,99,15015,168,5,78,17,15,85
158,필운대로1길,제과제빵떡케익,18000000,3964,3807,96,3807,157,16,73,11,15,85
159,필운대로1길,커피점/카페,543637332,86309,13,87,80890,5419,17,70,13,31,69
160,난계로11길,한식,1065701456,26489,30,70,18600,7889,7,42,51,62,39
161,난계로11길,일식/수산물,194699279,6853,4752,69,4752,2101,0,50,50,45,55
162,난계로11길,분식,145237125,15291,26,74,11144,4147,1,62,37,54,46
163,난계로11길,닭/오리요리,44966415,1488,31,69,988,500,0,1,99,69,31
164,난계로11길,제과제빵떡케익,187340126,23069,17403,75,17403,5666,21,36,43,32,68
165,난계로11길,커피점/카페,141100191,19481,31,69,14050,5431,14,58,28,44,56
166,난계로11길,유흥주점,23273739,745,30,70,480,265,0,0,100,67,34
167,난계로21길,한식,1029265235,21676,19,81,13936,7740,3,72,25,76,24
168,난계로21길,커피점/카페,3093093,516,11,89,456,60,20,71,9,64,36
169,다산로33길,한식,422612599,11371,22,78,9126,2245,2,31,67,68,32
170,다산로33길,중식,65472943,3619,22,78,2728,891,3,61,36,71,29
171,다산로33길,분식,154097953,7140,22,78,4292,2848,2,66,32,39,62
172,다산로33길,패스트푸드점,91648114,3449,34,66,2283,1166,6,24,70,54,47
173,다산로33길,닭/오리요리,148919870,5532,29,71,3525,2007,0,10,90,65,35
174,다산로33길,제과제빵떡케익,120737958,14669,10912,74,10912,3757,22,38,40,39,61
175,다산로33길,커피점/카페,2511323,495,4,96,469,26,0,75,25,54,46
176,다산로33길,유흥주점,5563724,221,26,74,156,65,-1,0,101,88,12
177,다산로36길,한식,367221948,15504,31,69,10308,5196,0,55,45,52,48
178,다산로36길,닭/오리요리,617754296,26358,34,66,17282,9076,-1,2,99,54,46
179,다산로36길,커피점/카페,48960544,6259,16,84,5115,1144,19,63,18,38,62
180,다산로38길,한식,430265376,22322,16,84,17953,4369,1,69,30,57,43
181,다산로38길,중식,100442435,5397,32,68,3695,1702,0,63,37,54,47
182,다산로38길,분식,170302768,17372,31,69,12733,4639,1,51,48,46,54
183,다산로38길,패스트푸드점,19385642,1167,42,58,674,493,1,27,72,54,46
184,다산로38길,닭/오리요리,35329047,3288,33,67,2198,1090,0,14,86,54,46
185,다산로38길,제과제빵떡케익,425009538,41958,31840,76,31840,10118,21,43,36,39,61
186,다산로38길,커피점/카페,90631124,19225,20,81,15862,3363,26,57,17,50,50
187,다산로38길,유흥주점,167353252,4594,27,74,3081,1513,0,0,100,68,32
188,다산로39길,한식,829688741,25875,27,73,18994,6881,4,34,62,64,36
189,다산로39길,중식,32898226,852,50,50,582,270,1,11,88,43,57
190,다산로39길,일식/수산물,22292193,181,159,91,159,22,8,0,92,79,21
191,다산로39길,분식,755046043,38088,24,76,24327,13761,4,31,65,50,50
192,다산로39길,닭/오리요리,52680116,1399,37,63,885,514,-1,0,101,43,57
193,다산로39길,커피점/카페,53071581,8011,17,83,5484,2527,21,60,19,47,53
194,다산로39길,유흥주점,92687883,2453,40,60,1667,786,6,3,91,84,16
195,동호로10길,한식,578771070,34361,25,75,27615,6746,4,42,54,55,45
196,동호로10길,중식,229354720,10550,37,63,6515,4035,1,61,38,62,38
197,동호로10길,분식,25006007,1914,23,77,1484,430,31,67,2,68,32
198,동호로10길,패스트푸드점,343528829,10100,38,62,6261,3839,0,35,65,59,41
199,동호로10길,닭/오리요리,24132503,746,36,64,473,273,1,0,99,76,25
200,동호로10길,제과제빵떡케익,75968153,10174,7549,74,7549,2625,22,35,43,39,61
201,동호로10길,커피점/카페,162147709,17278,27,74,12343,4935,17,57,26,38,62
202,동호로10길,유흥주점,73581242,1262,26,74,912,350,0,0,100,60,41
203,동호로11길,한식,530729808,19514,28,72,14879,4635,2,48,50,65,35
204,동호로11길,중식,63426517,3425,33,67,2314,1111,0,67,33,66,34
205,동호로11길,분식,26636047,2973,22,78,2323,650,0,45,55,48,52
206,동호로11길,유흥주점,116088085,5498,26,74,4073,1425,0,25,75,60,40
207,동호로15길,한식,750764940,17989,18,82,14086,3903,2,70,28,60,40
208,동호로15길,중식,96391295,4142,11,89,3691,451,1,59,40,67,33
209,동호로15길,분식,111215666,6544,13,87,5718,826,1,74,25,48,52
210,동호로15길,유흥주점,60689689,1013,35,65,673,340,1,0,99,68,32
211,동호로20길,한식,20317358,1875,12,88,1659,216,1,93,6,87,13
212,동호로8길,한식,1149208970,37110,26,74,28431,8679,1,32,67,52,48
213,동호로8길,양식,124706479,4771,27,73,3537,1234,0,64,36,34,66
214,동호로8길,분식,194342862,21567,22,78,16796,4771,2,50,48,46,54
215,동호로8길,제과제빵떡케익,104761703,16519,12791,77,12791,3728,26,43,31,38,62
216,동호로8길,커피점/카페,165665565,25307,32,68,17298,8009,12,48,40,39,61
217,동호로8길,유흥주점,63334331,1411,28,72,1033,378,2,2,96,74,26
218,명동길,한식,1537915790,53921,14,86,50400,3521,1,76,23,46,54
219,명동길,일식/수산물,541525852,11947,8410,82,8410,3537,-1,28,73,42,59
220,명동길,양식,744863211,18842,14,86,16104,2738,3,68,29,43,57
221,명동길,분식,208017572,16192,19,81,13082,3110,7,63,30,51,49
222,명동길,제과제빵떡케익,216478638,20824,12482,60,12482,8342,10,63,27,41,59
223,명동길,커피점/카페,914431003,93841,15,85,79920,13921,26,61,13,54,46
224,명동길,유흥주점,28436294,302,8,92,277,25,0,0,100,79,22
225,삼일대로4길,한식,783175906,30685,13,87,26310,4375,2,77,21,54,46
226,삼일대로4길,중식,134285622,7335,7,93,6473,862,1,84,15,79,21
227,삼일대로4길,일식/수산물,710174536,9258,8958,93,8958,300,0,66,34,59,41
228,삼일대로4길,양식,55793921,3836,0,100,3836,0,0,82,18,58,42
229,삼일대로4길,분식,1058920125,99864,14,86,78722,21142,7,77,16,39,61
230,삼일대로4길,제과제빵떡케익,118193720,16135,13837,86,13837,2298,36,52,12,29,71
231,삼일대로4길,커피점/카페,536998975,68604,15,86,56679,11925,32,62,6,47,53
232,장충단로8길,한식,254368014,4457,37,63,2975,1482,0,37,63,58,42
233,장충단로8길,중식,75548666,3693,18,83,3049,644,-1,72,29,66,34
234,장충단로8길,커피점/카페,41712911,5626,6,94,5214,412,30,65,5,51,49
235,청구로17길,한식,1373024249,43316,16,84,35533,7783,2,53,45,58,42
236,청구로17길,일식/수산물,400064934,22905,19571,85,19571,3334,0,65,35,60,40
237,청구로17길,분식,39890929,6390,3,97,6213,177,18,58,24,53,47
238,청구로17길,패스트푸드점,202121583,6305,33,67,3892,2413,0,36,64,55,45
239,청구로17길,닭/오리요리,38525530,1844,41,59,1094,750,0,24,76,55,45
240,청구로17길,제과제빵떡케익,58130954,7988,7036,88,7036,952,24,39,37,42,58
241,청구로17길,커피점/카페,77629849,13306,25,75,10033,3273,22,49,29,39,61
242,청구로17길,유흥주점,426570507,9113,33,67,6156,2957,0,3,97,57,43
243,청구로1길,한식,3411740,176,37,63,111,65,-1,59,42,64,36
244,청구로1길,패스트푸드점,13302128,599,43,57,333,266,-1,43,58,61,39
245,청구로1길,닭/오리요리,64729098,2607,36,64,1688,919,0,7,93,46,54
246,청구로1길,커피점/카페,1676043,263,14,86,228,35,19,76,5,31,69
247,퇴계로12길,한식,503015957,28762,6,94,26986,1776,5,81,14,54,46
248,퇴계로12길,일식/수산물,47907349,1835,1692,91,1692,143,0,37,63,62,38
249,퇴계로12길,커피점/카페,325376222,43814,17,83,39519,4295,16,65,19,39,61
250,퇴계로12길,유흥주점,9625877,1593,0,100,1593,0,39,61,0,62,38
251,퇴계로18길,한식,709728062,22773,25,75,14274,8499,2,59,39,60,40
252,퇴계로18길,양식,1782487136,45032,39,61,25582,19450,2,42,56,54,46
253,퇴계로18길,커피점/카페,260868236,55640,10,90,54010,1630,8,77,15,29,71
254,퇴계로46길,한식,685360082,34309,11,89,29857,4452,3,68,29,67,33
255,퇴계로46길,중식,5931362,481,3,97,469,12,0,85,15,87,13
256,퇴계로46길,일식/수산물,93953642,6963,6478,93,6478,485,1,69,30,44,56
257,퇴계로46길,분식,14520857,1026,3,97,993,33,2,78,20,67,33
258,퇴계로46길,커피점/카페,69414454,13122,5,96,12572,550,26,68,6,42,58
259,퇴계로46길,유흥주점,22983676,707,13,87,617,90,0,0,100,74,27
260,퇴계로56길,한식,1593610628,66576,12,88,55550,11026,2,71,27,67,33
261,퇴계로56길,중식,120333340,6426,18,82,5258,1168,4,54,42,66,34
262,퇴계로56길,일식/수산물,41857780,2315,1859,80,1859,456,-1,62,39,40,60
263,퇴계로56길,양식,38968902,1146,5,95,1127,19,1,36,63,78,22
264,퇴계로56길,분식,221933009,14139,15,85,11743,2396,2,50,48,57,43
265,퇴계로56길,닭/오리요리,17026765,327,23,77,248,79,0,0,100,51,49
266,퇴계로56길,커피점/카페,78819027,6761,25,75,4818,1943,8,65,27,61,39
267,퇴계로56길,유흥주점,123575959,3080,22,78,2408,672,0,2,98,66,34
268,퇴계로8길,한식,879210222,37601,10,90,33917,3684,2,76,22,64,36
269,퇴계로8길,중식,172276342,7371,10,90,6674,697,-1,77,24,64,36
270,퇴계로8길,분식,306660571,9806,23,77,7536,2270,2,55,43,59,41
271,퇴계로8길,제과제빵떡케익,6168672,393,326,83,326,67,1,78,21,18,82
272,퇴계로8길,커피점/카페,59434785,4700,22,78,3691,1009,10,76,14,35,65
273,퇴계로90길,한식,321957148,9271,19,81,7687,1584,1,60,39,71,29
274,퇴계로90길,분식,85694610,9868,23,78,6646,3222,3,37,60,55,45
275,퇴계로90길,커피점/카페,55384010,8583,25,75,6101,2482,9,60,31,41,60
276,퇴계로90길,유흥주점,53336390,1424,17,83,1124,300,0,3,97,72,29
277,녹사평대로11길,분식,33704064,460,0,100,460,0,4,81,15,71,29
278,녹사평대로11길,커피점/카페,16627170,2187,27,73,1596,591,1,64,35,55,45
279,녹사평대로26길,한식,466440703,9917,22,78,7780,2137,3,44,53,56,44
280,녹사평대로26길,중식,49974475,2057,11,89,1828,229,1,73,26,67,33
281,녹사평대로26길,양식,210535862,8878,21,79,6330,2548,0,69,31,48,52
282,녹사평대로26길,패스트푸드점,25280021,720,55,45,325,395,1,1,98,41,60
283,녹사평대로26길,커피점/카페,248175059,19614,39,62,11850,7764,8,49,43,40,61
284,녹사평대로26길,유흥주점,85476326,2081,20,81,1676,405,0,0,100,70,30
285,녹사평대로32길,한식,429378672,9361,31,70,6770,2591,-1,20,81,65,35
286,녹사평대로32길,중식,221914426,5743,35,65,3746,1997,-1,38,63,59,41
287,녹사평대로32길,일식/수산물,135117903,8112,5858,72,5858,2254,0,51,49,65,35
288,녹사평대로32길,양식,1075228071,21451,47,53,12277,9174,0,31,69,45,55
289,녹사평대로32길,분식,31523513,1862,62,38,655,1207,-1,46,55,32,68
290,녹사평대로32길,패스트푸드점,227953198,10990,43,58,6327,4663,-1,40,61,45,55
291,녹사평대로32길,커피점/카페,183504347,17520,39,61,10762,6758,3,61,36,36,64
292,녹사평대로32길,유흥주점,493163580,9609,51,49,5074,4535,0,5,95,49,51
293,녹사평대로40나길,한식,742702911,15385,54,54,8059,7326,0,18,82,45,55
294,녹사평대로40나길,일식/수산물,65357753,339,26,75,257,82,0,0,100,72,28
295,녹사평대로40나길,양식,2125634160,48145,52,52,25579,22566,1,31,68,42,58
296,녹사평대로40나길,패스트푸드점,226302251,5044,49,49,2626,2418,-1,28,73,51,49
297,녹사평대로40나길,제과제빵떡케익,80862130,3901,62,38,1819,2082,0,44,56,28,72
298,녹사평대로40나길,커피점/카페,153590030,13777,54,54,7843,5934,0,58,42,35,65
299,녹사평대로40나길,유흥주점,7914413,31,33,33,15,16,0,33,67,50,50
300,녹사평대로46길,한식,88113085,2584,46,54,1411,1173,1,27,72,49,51
301,녹사평대로46길,일식/수산물,154671,14,14,100,14,0,0,0,100,100,0
302,녹사평대로46길,양식,639984359,16540,47,53,7941,8599,1,35,64,41,59
303,녹사평대로46길,분식,150793799,8277,43,57,5091,3186,0,44,56,47,53
304,녹사평대로46길,패스트푸드점,77659758,10112,56,44,4533,5579,0,45,55,44,56
305,녹사평대로46길,제과제빵떡케익,111910628,10996,6907,50,6907,4089,8,52,40,34,66
306,녹사평대로46길,커피점/카페,711125346,42608,55,45,23786,18822,2,51,47,34,66
307,녹사평대로46길,유흥주점,353306977,8753,45,56,4767,3986,1,4,95,56,44
308,대사관로34길,한식,1178888190,32427,21,79,24575,7852,3,38,59,66,34
309,대사관로34길,패스트푸드점,129292906,4277,43,57,2493,1784,0,34,66,50,50
310,대사관로34길,닭/오리요리,127953778,4899,31,69,3367,1532,0,10,90,51,49
311,대사관로34길,제과제빵떡케익,86402677,6336,4373,69,4373,1963,12,61,27,50,50
312,대사관로34길,커피점/카페,80640978,9946,19,81,7841,2105,17,55,28,53,48
313,대사관로34길,유흥주점,232780464,5876,27,73,3984,1892,0,0,100,82,18
314,두텁바위로1길,한식,160518659,12363,9,91,9622,2741,4,59,37,53,47
315,두텁바위로1길,패스트푸드점,103249398,2791,35,65,1802,989,0,39,61,55,45
316,두텁바위로1길,닭/오리요리,50754890,1966,26,75,1371,595,0,4,96,59,41
317,두텁바위로1길,커피점/카페,38871729,4807,12,88,4246,561,25,69,6,49,51
318,백범로79길,한식,234951645,8440,13,87,7363,1077,7,75,18,57,43
319,백범로79길,중식,56801898,3169,34,66,2104,1065,-1,71,30,59,41
320,백범로79길,양식,45634130,3054,15,86,2606,448,0,60,40,46,54
321,백범로79길,분식,146690768,17919,26,74,13385,4534,18,45,37,37,63
322,백범로79길,패스트푸드점,141270415,11583,27,73,8597,2986,15,42,43,44,57
323,백범로79길,커피점/카페,346669134,52553,22,78,38084,14469,21,52,27,33,67
324,백범로79길,유흥주점,39256617,1116,28,72,806,310,0,0,100,60,40
325,백범로90길,한식,1256430109,50586,22,79,41184,9402,1,58,41,62,38
326,백범로90길,양식,144250844,2208,14,87,2023,185,0,62,38,45,55
327,백범로90길,분식,333562219,23021,19,81,18416,4605,2,47,51,61,40
328,백범로90길,패스트푸드점,173551646,5425,40,60,3235,2190,0,28,72,63,37
329,백범로90길,닭/오리요리,21523264,725,19,81,562,163,0,0,100,54,46
330,백범로90길,제과제빵떡케익,67261411,7279,4545,62,4545,2734,5,47,48,30,70
331,백범로90길,커피점/카페,106327839,9341,21,79,7596,1745,2,66,32,45,55
332,서빙고로71길,한식,468120424,21566,17,83,14328,7238,2,81,17,70,30
333,서빙고로71길,중식,26354701,669,35,65,433,236,1,65,34,63,37
334,서빙고로71길,분식,138758421,2407,4,96,2313,94,2,80,18,74,26
335,서빙고로71길,유흥주점,18920025,357,0,100,357,0,3,93,4,79,21
336,소월로20길,한식,98419395,6634,10,90,5550,1084,10,56,34,79,21
337,소월로20길,양식,87000000,3517,30,71,2533,984,-1,63,38,49,51
338,소월로20길,분식,5504453,824,21,79,572,252,1,38,61,44,56
339,소월로20길,닭/오리요리,2452848,83,17,83,69,14,0,0,100,42,58
